ID,Label
1653,Entertaining Angels: The Dorothy Day Story (1996)
1191,"Letter From Death Row, A (1998)"
1357,For the Moment (1994)
1293,Star Kid (1997)
1342,"Convent, The (Convento, O) (1995)"
1175,Hugo Pool (1997)
269,"Full Monty, The (1997)"
303,Ulee's Gold (1997)
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"
318,Schindler's List (1993)
427,To Kill a Mockingbird (1962)
463,"Secret of Roan Inish, The (1994)"
509,My Left Foot (1989)
531,Shine (1996)
650,"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
896,"Sweet Hereafter, The (1997)"
1628,Lamerica (1994)
86,"Remains of the Day, The (1993)"
242,Kolya (1996)
286,"English Patient, The (1996)"
305,"Ice Storm, The (1997)"
344,"Apostle, The (1997)"
347,Wag the Dog (1997)
750,Amistad (1997)
874,Career Girls (1997)
900,Kundun (1997)
1007,Waiting for Guffman (1996)
1101,Six Degrees of Separation (1993)
886,"Life Less Ordinary, A (1997)"
904,Ma vie en rose (My Life in Pink) (1997)
1152,In Love and War (1996)
690,Seven Years in Tibet (1997)
934,"Preacher's Wife, The (1996)"
313,Titanic (1997)
340,Boogie Nights (1997)
336,Playing God (1997)
346,Jackie Brown (1997)
244,Smilla's Sense of Snow (1997)
258,Contact (1997)
272,Good Will Hunting (1997)
311,"Wings of the Dove, The (1997)"
100,Fargo (1996)
285,Secrets & Lies (1996)
1381,Losing Chase (1996)
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
93,Welcome to the Dollhouse (1995)
268,Chasing Amy (1997)
246,Chasing Amy (1997)
288,Scream (1996)
275,Sense and Sensibility (1995)
326,G.I. Jane (1997)
740,Jane Eyre (1996)
331,"Edge, The (1997)"
