Source,Target,Weight,Label1,Label2
1,7,0.09187257551097029,Toy Story (1995),Twelve Monkeys (1995)
1,9,0.06915347856199541,Toy Story (1995),Dead Man Walking (1995)
1,15,0.08631813534293226,Toy Story (1995),Mr. Holland's Opus (1995)
1,22,0.04640389087570971,Toy Story (1995),Braveheart (1995)
1,25,0.06531829650934265,Toy Story (1995),"Birdcage, The (1996)"
1,50,0.16316813817450004,Toy Story (1995),Star Wars (1977)
1,56,0.06269673975235347,Toy Story (1995),Pulp Fiction (1994)
1,69,0.05195292534282231,Toy Story (1995),Forrest Gump (1994)
1,79,0.056810135958223366,Toy Story (1995),"Fugitive, The (1993)"
1,96,0.047581069490202486,Toy Story (1995),Terminator 2: Judgment Day (1991)
1,98,0.06656539367359723,Toy Story (1995),"Silence of the Lambs, The (1991)"
1,100,0.121693077092158,Toy Story (1995),Fargo (1996)
1,117,0.10315573930139177,Toy Story (1995),"Rock, The (1996)"
1,118,0.06887800442969134,Toy Story (1995),Twister (1996)
1,121,0.10204677511792037,Toy Story (1995),Independence Day (ID4) (1996)
1,127,0.09605954355916065,Toy Story (1995),"Godfather, The (1972)"
1,151,0.0770101002605203,Toy Story (1995),Willy Wonka and the Chocolate Factory (1971)
1,168,0.05371578220947738,Toy Story (1995),Monty Python and the Holy Grail (1974)
1,172,0.06688356570420803,Toy Story (1995),"Empire Strikes Back, The (1980)"
1,173,0.055207187703632095,Toy Story (1995),"Princess Bride, The (1987)"
1,174,0.07649737866727306,Toy Story (1995),Raiders of the Lost Ark (1981)
1,181,0.12737374649256133,Toy Story (1995),Return of the Jedi (1983)
1,183,0.04679259935912412,Toy Story (1995),Alien (1979)
1,195,0.04994484733793298,Toy Story (1995),"Terminator, The (1984)"
1,204,0.05424037576653459,Toy Story (1995),Back to the Future (1985)
1,210,0.05084742120195765,Toy Story (1995),Indiana Jones and the Last Crusade (1989)
1,216,0.04038006638830203,Toy Story (1995),When Harry Met Sally... (1989)
1,222,0.0866303384459226,Toy Story (1995),Star Trek: First Contact (1996)
1,237,0.09708103241177655,Toy Story (1995),Jerry Maguire (1996)
1,257,0.07999220348218687,Toy Story (1995),Men in Black (1997)
1,258,0.09139554143885784,Toy Story (1995),Contact (1997)
1,269,0.047778949889408166,Toy Story (1995),"Full Monty, The (1997)"
1,276,0.06964448478938691,Toy Story (1995),Leaving Las Vegas (1995)
1,286,0.0675884695545863,Toy Story (1995),"English Patient, The (1996)"
1,288,0.06447010913482895,Toy Story (1995),Scream (1996)
1,294,0.08679208631465733,Toy Story (1995),Liar Liar (1997)
1,300,0.0772600931645133,Toy Story (1995),Air Force One (1997)
1,302,0.03463403137484372,Toy Story (1995),L.A. Confidential (1997)
1,313,0.05743345449097698,Toy Story (1995),Titanic (1997)
1,318,0.06046513755821433,Toy Story (1995),Schindler's List (1993)
1,328,0.04044558380751297,Toy Story (1995),Conspiracy Theory (1997)
1,405,0.07464711011884345,Toy Story (1995),Mission: Impossible (1996)
1,423,0.047301555547989996,Toy Story (1995),E.T. the Extra-Terrestrial (1982)
1,748,0.054577061977718194,Toy Story (1995),"Saint, The (1997)"
7,1,0.10593470441571064,Twelve Monkeys (1995),Toy Story (1995)
7,9,0.06688533840109535,Twelve Monkeys (1995),Dead Man Walking (1995)
7,15,0.058402644708005456,Twelve Monkeys (1995),Mr. Holland's Opus (1995)
7,22,0.046903222449816546,Twelve Monkeys (1995),Braveheart (1995)
7,25,0.05927973344217514,Twelve Monkeys (1995),"Birdcage, The (1996)"
7,50,0.1361511947559895,Twelve Monkeys (1995),Star Wars (1977)
7,56,0.07616914811102175,Twelve Monkeys (1995),Pulp Fiction (1994)
7,69,0.0413833637149143,Twelve Monkeys (1995),Forrest Gump (1994)
7,79,0.05365663936050526,Twelve Monkeys (1995),"Fugitive, The (1993)"
7,96,0.05197722730231764,Twelve Monkeys (1995),Terminator 2: Judgment Day (1991)
7,98,0.07454283012849283,Twelve Monkeys (1995),"Silence of the Lambs, The (1991)"
7,100,0.13489546955180104,Twelve Monkeys (1995),Fargo (1996)
7,117,0.10043160335322501,Twelve Monkeys (1995),"Rock, The (1996)"
7,118,0.05463236226199486,Twelve Monkeys (1995),Twister (1996)
7,121,0.08562163923726623,Twelve Monkeys (1995),Independence Day (ID4) (1996)
7,127,0.08231249410483583,Twelve Monkeys (1995),"Godfather, The (1972)"
7,151,0.07408130301277963,Twelve Monkeys (1995),Willy Wonka and the Chocolate Factory (1971)
7,168,0.04654277676470394,Twelve Monkeys (1995),Monty Python and the Holy Grail (1974)
7,172,0.057607125218238825,Twelve Monkeys (1995),"Empire Strikes Back, The (1980)"
7,173,0.05078510520018184,Twelve Monkeys (1995),"Princess Bride, The (1987)"
7,174,0.07215695627936444,Twelve Monkeys (1995),Raiders of the Lost Ark (1981)
7,181,0.11035295649171324,Twelve Monkeys (1995),Return of the Jedi (1983)
7,183,0.04994894646465854,Twelve Monkeys (1995),Alien (1979)
7,195,0.05318139668722763,Twelve Monkeys (1995),"Terminator, The (1984)"
7,204,0.04461746523001598,Twelve Monkeys (1995),Back to the Future (1985)
7,210,0.04378557140122317,Twelve Monkeys (1995),Indiana Jones and the Last Crusade (1989)
7,216,0.037051211214912706,Twelve Monkeys (1995),When Harry Met Sally... (1989)
7,222,0.07662774778790278,Twelve Monkeys (1995),Star Trek: First Contact (1996)
7,237,0.07671807108692931,Twelve Monkeys (1995),Jerry Maguire (1996)
7,257,0.06689186485101477,Twelve Monkeys (1995),Men in Black (1997)
7,258,0.09395433507981273,Twelve Monkeys (1995),Contact (1997)
7,269,0.04092137479874199,Twelve Monkeys (1995),"Full Monty, The (1997)"
7,276,0.07457911083678645,Twelve Monkeys (1995),Leaving Las Vegas (1995)
7,286,0.06689384904138643,Twelve Monkeys (1995),"English Patient, The (1996)"
7,288,0.0804038469644075,Twelve Monkeys (1995),Scream (1996)
7,294,0.0742219343253083,Twelve Monkeys (1995),Liar Liar (1997)
7,300,0.06082335543168679,Twelve Monkeys (1995),Air Force One (1997)
7,302,0.04115413217185853,Twelve Monkeys (1995),L.A. Confidential (1997)
7,313,0.05130761939406544,Twelve Monkeys (1995),Titanic (1997)
7,318,0.045610101910427046,Twelve Monkeys (1995),Schindler's List (1993)
7,328,0.034163501053576975,Twelve Monkeys (1995),Conspiracy Theory (1997)
7,405,0.06834018590776207,Twelve Monkeys (1995),Mission: Impossible (1996)
7,423,0.03530814430935369,Twelve Monkeys (1995),E.T. the Extra-Terrestrial (1982)
7,748,0.045601202378754535,Twelve Monkeys (1995),"Saint, The (1997)"
9,1,0.10453970672248136,Dead Man Walking (1995),Toy Story (1995)
9,7,0.08768913930845944,Dead Man Walking (1995),Twelve Monkeys (1995)
9,15,0.0785970474512372,Dead Man Walking (1995),Mr. Holland's Opus (1995)
9,22,0.0382809182669668,Dead Man Walking (1995),Braveheart (1995)
9,25,0.06393969276267703,Dead Man Walking (1995),"Birdcage, The (1996)"
9,50,0.1289605469046798,Dead Man Walking (1995),Star Wars (1977)
9,56,0.06044339187702576,Dead Man Walking (1995),Pulp Fiction (1994)
9,69,0.042980147864120535,Dead Man Walking (1995),Forrest Gump (1994)
9,79,0.037075929506635706,Dead Man Walking (1995),"Fugitive, The (1993)"
9,96,0.033095965104566756,Dead Man Walking (1995),Terminator 2: Judgment Day (1991)
9,98,0.06868872382783442,Dead Man Walking (1995),"Silence of the Lambs, The (1991)"
9,100,0.16094494747475574,Dead Man Walking (1995),Fargo (1996)
9,117,0.08340014975038565,Dead Man Walking (1995),"Rock, The (1996)"
9,118,0.049750296665662316,Dead Man Walking (1995),Twister (1996)
9,121,0.07524558516406477,Dead Man Walking (1995),Independence Day (ID4) (1996)
9,127,0.11291110725473354,Dead Man Walking (1995),"Godfather, The (1972)"
9,151,0.05023326895459264,Dead Man Walking (1995),Willy Wonka and the Chocolate Factory (1971)
9,168,0.04731546937895192,Dead Man Walking (1995),Monty Python and the Holy Grail (1974)
