Source;Target;Weight;Label1;Label2
181;50;0.0006835147638479119;Return of the Jedi (1983);Star Wars (1977)
172;50;0.00068128731392013;Empire Strikes Back, The (1980);Star Wars (1977)
174;50;0.0006794156552039822;Raiders of the Lost Ark (1981);Star Wars (1977)
173;50;0.0006763393892118878;Princess Bride, The (1987);Star Wars (1977)
195;50;0.0006756881262111234;Terminator, The (1984);Star Wars (1977)
210;50;0.0006756568460932041;Indiana Jones and the Last Crusade (1989);Star Wars (1977)
109;50;0.0006754231128113953;Mystery Science Theater 3000: The Movie (1996);Star Wars (1977)
127;50;0.0006753981505029847;Godfather, The (1972);Star Wars (1977)
135;50;0.0006752600004150534;2001: A Space Odyssey (1968);Star Wars (1977)
250;50;0.0006752415445801604;Fifth Element, The (1997);Star Wars (1977)
90;50;0.0006752312272938854;So I Married an Axe Murderer (1993);Star Wars (1977)
403;50;0.0006751337518122205;Batman (1989);Star Wars (1977)
151;50;0.0006751074353440141;Willy Wonka and the Chocolate Factory (1971);Star Wars (1977)
204;50;0.0006751069438703258;Back to the Future (1985);Star Wars (1977)
249;50;0.0006750995259207039;Austin Powers: International Man of Mystery (1997);Star Wars (1977)
85;50;0.000675083130639132;Ref, The (1994);Star Wars (1977)
302;50;0.0006750274620659658;L.A. Confidential (1997);Star Wars (1977)
575;50;0.0006750168820320316;City Slickers II: The Legend of Curly's Gold (1994);Star Wars (1977)
358;50;0.0006749413602212377;Spawn (1997);Star Wars (1977)
577;50;0.0006749122484274569;Coneheads (1993);Star Wars (1977)
886;50;0.0006748999265346716;Life Less Ordinary, A (1997);Star Wars (1977)
258;50;0.0006748741776843949;Contact (1997);Star Wars (1977)
423;50;0.0006748380693232097;E.T. the Extra-Terrestrial (1982);Star Wars (1977)
215;50;0.0006748096591869324;Field of Dreams (1989);Star Wars (1977)
4;50;0.0006748059104984802;Get Shorty (1995);Star Wars (1977)
455;50;0.0006747949114797832;Jackie Chan's First Strike (1996);Star Wars (1977)
736;50;0.0006747687109143939;Shadowlands (1993);Star Wars (1977)
186;50;0.0006747604335477853;Blues Brothers, The (1980);Star Wars (1977)
12;50;0.0006747569765277882;Usual Suspects, The (1995);Star Wars (1977)
762;50;0.0006747513802083955;Beautiful Girls (1996);Star Wars (1977)
347;50;0.000674743800651915;Wag the Dog (1997);Star Wars (1977)
342;50;0.0006747089289419046;Man Who Knew Too Little, The (1997);Star Wars (1977)
