Source;Target;Weight;Label1;Label2
50;181;0.5090137857900318;Star Wars (1977);Return of the Jedi (1983)
50;100;0.4178154825026511;Star Wars (1977);Fargo (1996)
1;50;0.40402969247083775;Toy Story (1995);Star Wars (1977)
50;174;0.4029692470837752;Star Wars (1977);Raiders of the Lost Ark (1981)
50;121;0.383881230116649;Star Wars (1977);Independence Day (ID4) (1996)
50;127;0.37857900318133614;Star Wars (1977);Godfather, The (1972)
181;100;0.3669141039236479;Return of the Jedi (1983);Fargo (1996)
50;172;0.36585365853658536;Star Wars (1977);Empire Strikes Back, The (1980)
181;174;0.36267232237539765;Return of the Jedi (1983);Raiders of the Lost Ark (1981)
1;181;0.3605514316012725;Toy Story (1995);Return of the Jedi (1983)
181;121;0.35949098621421;Return of the Jedi (1983);Independence Day (ID4) (1996)
50;98;0.3552492046659597;Star Wars (1977);Silence of the Lambs, The (1991)
50;258;0.35418875927889715;Star Wars (1977);Contact (1997)
50;56;0.34994697773064687;Star Wars (1977);Pulp Fiction (1994)
174;172;0.34676564156945916;Raiders of the Lost Ark (1981);Empire Strikes Back, The (1980)
1;100;0.344644750795334;Toy Story (1995);Fargo (1996)
50;7;0.34358430540827145;Star Wars (1977);Twelve Monkeys (1995)
100;7;0.33934252386002123;Fargo (1996);Twelve Monkeys (1995)
181;172;0.3361611876988335;Return of the Jedi (1983);Empire Strikes Back, The (1980)
50;222;0.33510074231177095;Star Wars (1977);Star Trek: First Contact (1996)
1;121;0.3329798515376458;Toy Story (1995);Independence Day (ID4) (1996)
121;405;0.3329798515376458;Independence Day (ID4) (1996);Mission: Impossible (1996)
174;56;0.3329798515376458;Raiders of the Lost Ark (1981);Pulp Fiction (1994)
50;117;0.33085896076352067;Star Wars (1977);Rock, The (1996)
174;98;0.3297985153764581;Raiders of the Lost Ark (1981);Silence of the Lambs, The (1991)
181;127;0.32873806998939553;Return of the Jedi (1983);Godfather, The (1972)
100;121;0.32873806998939553;Fargo (1996);Independence Day (ID4) (1996)
258;294;0.32873806998939553;Contact (1997);Liar Liar (1997)
50;204;0.32767762460233296;Star Wars (1977);Back to the Future (1985)
50;294;0.32767762460233296;Star Wars (1977);Liar Liar (1997)
288;294;0.3266171792152704;Scream (1996);Liar Liar (1997)
288;258;0.32343584305408274;Scream (1996);Contact (1997)
50;210;0.32237539766702017;Star Wars (1977);Indiana Jones and the Last Crusade (1989)
258;300;0.32237539766702017;Contact (1997);Air Force One (1997)
56;98;0.31919406150583246;Pulp Fiction (1994);Silence of the Lambs, The (1991)
286;258;0.3181336161187699;English Patient, The (1996);Contact (1997)
121;117;0.3170731707317073;Independence Day (ID4) (1996);Rock, The (1996)
181;222;0.31601272534464475;Return of the Jedi (1983);Star Trek: First Contact (1996)
181;258;0.31601272534464475;Return of the Jedi (1983);Contact (1997)
174;204;0.31601272534464475;Raiders of the Lost Ark (1981);Back to the Future (1985)
50;79;0.3149522799575822;Star Wars (1977);Fugitive, The (1993)
50;237;0.3138918345705196;Star Wars (1977);Jerry Maguire (1996)
181;98;0.3138918345705196;Return of the Jedi (1983);Silence of the Lambs, The (1991)
100;127;0.3138918345705196;Fargo (1996);Godfather, The (1972)
181;7;0.31283138918345704;Return of the Jedi (1983);Twelve Monkeys (1995)
181;117;0.3107104984093319;Return of the Jedi (1983);Rock, The (1996)
100;237;0.3107104984093319;Fargo (1996);Jerry Maguire (1996)
100;56;0.30965005302226933;Fargo (1996);Pulp Fiction (1994)
50;405;0.3075291622481442;Star Wars (1977);Mission: Impossible (1996)
100;98;0.3075291622481442;Fargo (1996);Silence of the Lambs, The (1991)
1;117;0.3064687168610817;Toy Story (1995);Rock, The (1996)
181;56;0.3064687168610817;Return of the Jedi (1983);Pulp Fiction (1994)
174;210;0.3064687168610817;Raiders of the Lost Ark (1981);Indiana Jones and the Last Crusade (1989)
100;174;0.30434782608695654;Fargo (1996);Raiders of the Lost Ark (1981)
181;204;0.30328738069989397;Return of the Jedi (1983);Back to the Future (1985)
174;79;0.30328738069989397;Raiders of the Lost Ark (1981);Fugitive, The (1993)
294;300;0.3022269353128314;Liar Liar (1997);Air Force One (1997)
50;69;0.30116648992576883;Star Wars (1977);Forrest Gump (1994)
50;173;0.30116648992576883;Star Wars (1977);Princess Bride, The (1987)
100;117;0.30116648992576883;Fargo (1996);Rock, The (1996)
50;288;0.30010604453870626;Star Wars (1977);Scream (1996)
181;210;0.30010604453870626;Return of the Jedi (1983);Indiana Jones and the Last Crusade (1989)
1;7;0.2979851537645811;Toy Story (1995);Twelve Monkeys (1995)
50;151;0.29692470837751855;Star Wars (1977);Willy Wonka and the Chocolate Factory (1971)
50;168;0.2948038176033934;Star Wars (1977);Monty Python and the Holy Grail (1974)
50;195;0.2948038176033934;Star Wars (1977);Terminator, The (1984)
174;69;0.2948038176033934;Raiders of the Lost Ark (1981);Forrest Gump (1994)
172;98;0.2948038176033934;Empire Strikes Back, The (1980);Silence of the Lambs, The (1991)
56;204;0.2948038176033934;Pulp Fiction (1994);Back to the Future (1985)
172;56;0.2926829268292683;Empire Strikes Back, The (1980);Pulp Fiction (1994)
172;204;0.2926829268292683;Empire Strikes Back, The (1980);Back to the Future (1985)
181;294;0.2916224814422057;Return of the Jedi (1983);Liar Liar (1997)
121;7;0.2916224814422057;Independence Day (ID4) (1996);Twelve Monkeys (1995)
172;210;0.2916224814422057;Empire Strikes Back, The (1980);Indiana Jones and the Last Crusade (1989)
181;405;0.29056203605514314;Return of the Jedi (1983);Mission: Impossible (1996)
100;286;0.29056203605514314;Fargo (1996);English Patient, The (1996)
174;195;0.29056203605514314;Raiders of the Lost Ark (1981);Terminator, The (1984)
1;174;0.28950159066808057;Toy Story (1995);Raiders of the Lost Ark (1981)
121;222;0.28950159066808057;Independence Day (ID4) (1996);Star Trek: First Contact (1996)
50;286;0.28844114528101805;Star Wars (1977);English Patient, The (1996)
100;258;0.28844114528101805;Fargo (1996);Contact (1997)
50;96;0.2873806998939555;Star Wars (1977);Terminator 2: Judgment Day (1991)
50;257;0.2873806998939555;Star Wars (1977);Men in Black (1997)
50;423;0.2873806998939555;Star Wars (1977);E.T. the Extra-Terrestrial (1982)
181;79;0.2873806998939555;Return of the Jedi (1983);Fugitive, The (1993)
1;237;0.2863202545068929;Toy Story (1995);Jerry Maguire (1996)
174;173;0.2863202545068929;Raiders of the Lost Ark (1981);Princess Bride, The (1987)
100;288;0.28525980911983034;Fargo (1996);Scream (1996)
121;237;0.28525980911983034;Independence Day (ID4) (1996);Jerry Maguire (1996)
204;98;0.28525980911983034;Back to the Future (1985);Silence of the Lambs, The (1991)
181;237;0.2841993637327678;Return of the Jedi (1983);Jerry Maguire (1996)
174;168;0.2841993637327678;Raiders of the Lost Ark (1981);Monty Python and the Holy Grail (1974)
1;222;0.2831389183457052;Toy Story (1995);Star Trek: First Contact (1996)
1;405;0.2831389183457052;Toy Story (1995);Mission: Impossible (1996)
50;183;0.2831389183457052;Star Wars (1977);Alien (1979)
121;174;0.2831389183457052;Independence Day (ID4) (1996);Raiders of the Lost Ark (1981)
